customer_id,first_name,age,email,country
1,Jamie,53.0,user1@example.com,France
2,Morgan,42.0,user2@example.com,France
3,,37.0,user3@example.com,UK
4,Casey,55.0,user4@example.com,Italy
5,Jordan,50.0,user5@example.com,Spain
6,Taylor,50.0,user6@example.com,USA
7,Riley,55.0,user7@example.com,USA
8,Taylor,18.0,user8@example.com,Italy
9,Jamie,64.0,user9@example.com,USA
10,Alex,50.0,user10@example.com,USA
11,Alex,55.0,user11@example.com,UK
12,Taylor,41.0,user12@example.com,Canada
13,Riley,26.0,user13@example.com,UK
14,Morgan,48.0,user14@example.com,UK
15,Sam,55.0,user15@example.com,Italy
16,,66.0,user16@example.com,Australia
17,Morgan,45.0,user17@example.com,Australia
18,Taylor,40.0,user18@example.com,France
19,Jamie,47.0,user19@example.com,Spain
20,Alex,35.0,user20@example.com,UK
21,Jordan,43.0,user21@example.com,USA
22,Riley,69.0,user22@example.com,Spain
23,Riley,50.0,user23@example.com,Australia
24,Taylor,33.0,user24@example.com,Australia
25,Riley,46.0,user25@example.com,Spain
26,Morgan,33.0,user26@example.com,Spain
27,Riley,50.0,user27@example.com,Spain
28,Riley,56.0,user28@example.com,UK
29,Taylor,63.0,user29@example.com,Germany
30,Jordan,64.0,user30@example.com,Australia
31,Morgan,55.0,user31@example.com,USA
32,Jamie,40.0,user32@example.com,Italy
33,Sam,43.0,user33@example.com,Italy
34,Morgan,66.0,user34@example.com,France
35,Jamie,34.0,user35@example.com,Italy
36,Taylor,55.0,user36@example.com,Italy
37,Jamie,62.0,user37@example.com,Spain
38,Casey,41.0,user38@example.com,UK
39,Jordan,60.0,user39@example.com,Germany
40,Jamie,36.0,user40@example.com,Canada
41,Taylor,59.0,user41@example.com,Italy
42,Jordan,44.0,user42@example.com,Italy
43,,19.0,user43@example.com,Spain
44,Morgan,69.0,user44@example.com,USA
45,Jordan,25.0,user45@example.com,USA
46,Taylor,32.0,user46@example.com,UK
47,Taylor,58.0,user47@example.com,Spain
48,Taylor,30.0,user48@example.com,Italy
49,Sam,44.0,user49@example.com,Canada
50,Taylor,39.0,user50@example.com,USA
51,Jamie,64.0,user51@example.com,USA
52,Morgan,64.0,user52@example.com,Spain
53,Casey,18.0,user53@example.com,UK
54,Alex,22.0,user54@example.com,USA
55,Sam,46.0,user55@example.com,France
56,Sam,32.0,user56@example.com,Italy
57,Morgan,130.0,user57@example.com,Italy
58,Alex,63.0,user58@example.com,Germany
59,Riley,23.0,user59@example.com,Canada
60,Jamie,23.0,user60@example.com,Australia
61,Sam,40.0,user61@example.com,Australia
62,Morgan,69.0,user62@example.com,Canada
63,Sam,22.0,user63@example.com,France
64,Taylor,39.0,user64@example.com,Germany
65,Casey,58.0,user65@example.com,UK
66,Morgan,37.0,user66@example.com,UK
67,Morgan,37.0,user67@example.com,Australia
68,Riley,56.0,user68@example.com,USA
69,Jordan,47.0,user69@example.com,Canada
70,Sam,65.0,user70@example.com,Germany
71,Casey,34.0,user71@example.com,UK
72,Riley,40.0,user72@example.com,Canada
73,Morgan,57.0,user73@example.com,USA
74,Jamie,67.0,user74@example.com,Australia
75,Riley,69.0,user75@example.com,USA
76,Morgan,140.0,user76@example.com,Germany
77,Jordan,63.0,user77@example.com,France
78,Alex,53.0,user78@example.com,France
79,Riley,59.0,user79@example.com,
80,Riley,27.0,user80@example.com,Australia
